[BusLocationSystem] Start Crolling
[BusLocationSystem] Url Connetion
[BusLocationSystem] Start Parse
[BusLocationSystem] 35.1073866667 gpsY Find
[BusLocationSystem] 168250301 bstopId Find
[BusLocationSystem] 보수아파트 bstopNm Find
[BusLocationSystem] 129.02616 gpsX Find
[BusLocationSystem] 35.10775 gpsY Find
[BusLocationSystem] 168410205 bstopId Find
[BusLocationSystem] 혜광고교 bstopNm Find
[BusLocationSystem] 129.024225 gpsX Find
[BusLocationSystem] 35.1089233333 gpsY Find
[BusLocationSystem] 167670202 bstopId Find
[BusLocationSystem] 코모도호텔 bstopNm Find
[BusLocationSystem] 129.03493 gpsX Find
[BusLocationSystem] 35.1100333333 gpsY Find
[BusLocationSystem] 167780101 bstopId Find
[BusLocationSystem] 보수동책방골목 bstopNm Find
[BusLocationSystem] 129.0264483333 gpsX Find
[BusLocationSystem] 35.1030566667 gpsY Find
[BusLocationSystem] 167790401 bstopId Find
[BusLocationSystem] 보수동책방골목 bstopNm Find
[BusLocationSystem] 129.026864 gpsX Find
[BusLocationSystem] 35.103104 gpsY Find
[BusLocationSystem] 167670203 bstopId Find
[BusLocationSystem] 코모도호텔입구 bstopNm Find
[BusLocationSystem] 129.03431470002 gpsX Find
[BusLocationSystem] 35.108091133632 gpsY Find
[BusLocationSystem] 168570301 bstopId Find
[BusLocationSystem] 구덕초등학교 bstopNm Find
[BusLocationSystem] 129.0127433333 gpsX Find
[BusLocationSystem] 35.1197083333 gpsY Find
[BusLocationSystem] 168580101 bstopId Find
[BusLocationSystem] 구덕초등학교 bstopNm Find
[BusLocationSystem] 129.0127333333 gpsX Find
[BusLocationSystem] 35.1193933333 gpsY Find
[BusLocationSystem] 168780301 bstopId Find
[BusLocationSystem] 서부교육청 bstopNm Find
[BusLocationSystem] 129.0119733333 gpsX Find
[BusLocationSystem] 35.1181683333 gpsY Find
[BusLocationSystem] 208930101 bstopId Find
[BusLocationSystem] 서부교육청 bstopNm Find
[BusLocationSystem] 129.0122916667 gpsX Find
[BusLocationSystem] 35.1173633333 gpsY Find
[BusLocationSystem] 168470401 bstopId Find
[BusLocationSystem] 동아대병원입구 bstopNm Find
[BusLocationSystem] 129.0168383333 gpsX Find
[BusLocationSystem] 35.117295 gpsY Find
[BusLocationSystem] 168570101 bstopId Find
[BusLocationSystem] 구덕운동장 bstopNm Find
[BusLocationSystem] 129.0167683333 gpsX Find
[BusLocationSystem] 35.1165583333 gpsY Find
[BusLocationSystem] 168950301 bstopId Find
[BusLocationSystem] 동대신3동 bstopNm Find
[BusLocationSystem] 129.0182933333 gpsX Find
[BusLocationSystem] 35.11722 gpsY Find
[BusLocationSystem] 168470101 bstopId Find
[BusLocationSystem] 동대신3동 bstopNm Find
[BusLocationSystem] 129.01848 gpsX Find
[BusLocationSystem] 35.11752 gpsY Find
[BusLocationSystem] 168410202 bstopId Find
[BusLocationSystem] 동대고개 bstopNm Find
[BusLocationSystem] 129.0217433333 gpsX Find
[BusLocationSystem] 35.116215 gpsY Find
[BusLocationSystem] 168250306 bstopId Find
[BusLocationSystem] 동대고개 bstopNm Find
[BusLocationSystem] 129.02234 gpsX Find
[BusLocationSystem] 35.1158766667 gpsY Find
[BusLocationSystem] 168410203 bstopId Find
[BusLocationSystem] 대신여중 bstopNm Find
[BusLocationSystem] 129.0257783333 gpsX Find
[BusLocationSystem] 35.1133 gpsY Find
[BusLocationSystem] 168250304 bstopId Find
[BusLocationSystem] 대신여중 bstopNm Find
[BusLocationSystem] 129.02608 gpsX Find
[BusLocationSystem] 35.113005 gpsY Find
[BusLocationSystem] 168410204 bstopId Find
[BusLocationSystem] 락서암 bstopNm Find
[BusLocationSystem] 129.0246133333 gpsX Find
[BusLocationSystem] 35.1103566667 gpsY Find
[BusLocationSystem] 168250303 bstopId Find
[BusLocationSystem] 락서암 bstopNm Find
[BusLocationSystem] 129.0248 gpsX Find
[BusLocationSystem] 35.11077 gpsY Find
[BusLocationSystem] 168250302 bstopId Find
[BusLocationSystem] 혜광고교 bstopNm Find
[BusLocationSystem] 129.024345 gpsX Find
[BusLocationSystem] 35.1091216667 gpsY Find
[BusLocationSystem] 167900101 bstopId Find
[BusLocationSystem] 화랑초등학교 bstopNm Find
[BusLocationSystem] 129.022717806722 gpsX Find
[BusLocationSystem] 35.109833050038 gpsY Find
[BusLocationSystem] 168670201 bstopId Find
[BusLocationSystem] 화랑초등학교 bstopNm Find
[BusLocationSystem] 129.022365 gpsX Find
[BusLocationSystem] 35.1099833333 gpsY Find
[BusLocationSystem] 168370101 bstopId Find
[BusLocationSystem] 동대시장 bstopNm Find
[BusLocationSystem] 129.0196466667 gpsX Find
[BusLocationSystem] 35.110725 gpsY Find
[BusLocationSystem] 168670301 bstopId Find
[BusLocationSystem] 동대시장(동대신역) bstopNm Find
[BusLocationSystem] 129.0195583333 gpsX Find
[BusLocationSystem] 35.1106283333 gpsY Find
[BusLocationSystem] 168670101 bstopId Find
[BusLocationSystem] 부산터널입구 bstopNm Find
[BusLocationSystem] 129.02245 gpsX Find
[BusLocationSystem] 35.11162 gpsY Find
[BusLocationSystem] 168820301 bstopId Find
[BusLocationSystem] 서여고 bstopNm Find
[BusLocationSystem] 129.0212833333 gpsX Find
